echem_swv,rep,minutes_swv,E_swv,electrode_swv,current_swv,max_current_swv,echem_gc,minutes_gc,E_gc,electrode_gc,current_gc,max_current_gc,reactor
swv,32,1167.05,-0.284,i2,3.1670584e-6,3.1670584e-6,gc,1166.8666666666666,-0.393,i2,-1.3655608e-8,1.3655608e-8,transfer_2
swv,33,1169.55,-0.292,i2,3.1088457e-6,3.1088457e-6,gc,1169.3666666666666,-0.399,i2,-1.1445294e-8,1.1445294e-8,transfer_2
swv,34,1172.05,-0.28,i2,3.1366328e-6,3.1366328e-6,gc,1171.8666666666666,-0.399,i2,-1.0362903e-8,1.0362903e-8,transfer_2
swv,35,1174.55,-0.294,i2,3.057065e-6,3.057065e-6,gc,1174.3666666666666,-0.39,i2,-9.6990913e-9,9.6990913e-9,transfer_2
swv,36,1177.05,-0.297,i2,3.0508809e-6,3.0508809e-6,gc,1176.8666666666666,-0.399,i2,-9.227791e-9,9.227791e-9,transfer_2
swv,37,1179.55,-0.294,i2,3.0959004e-6,3.0959004e-6,gc,1179.3666666666666,-0.399,i2,-8.0894837e-9,8.0894837e-9,transfer_2
swv,38,1182.05,-0.284,i2,2.9948121e-6,2.9948121e-6,gc,1181.8666666666666,-0.399,i2,-6.8657031e-9,6.8657031e-9,transfer_2
swv,3,1094.5333333333333,-0.282,i2,6.426465e-6,6.426465e-6,gc,1094.3666666666666,-0.399,i2,-4.4659271e-7,4.4659271e-7,transfer_2
swv,39,1184.55,-0.293,i2,3.0294427e-6,3.0294427e-6,gc,1184.3666666666666,-0.326,i2,-1.4340989e-7,1.4340989e-7,transfer_2
swv,40,1187.05,-0.286,i2,2.9838457e-6,2.9838457e-6,gc,1186.8666666666666,-0.398,i2,-5.5692309e-9,5.5692309e-9,transfer_2
swv,41,1189.55,-0.296,i2,2.9697458e-6,2.9697458e-6,gc,1189.3666666666666,-0.399,i2,-4.8303295e-9,4.8303295e-9,transfer_2
swv,42,1192.05,-0.289,i2,3.0541789e-6,3.0541789e-6,gc,1191.8666666666666,-0.398,i2,-4.551544e-9,4.551544e-9,transfer_2
swv,43,1194.55,-0.288,i2,3.0011608e-6,3.0011608e-6,gc,1194.3666666666666,-0.383,i2,-4.6306265e-9,4.6306265e-9,transfer_2
swv,44,1197.05,-0.29,i2,2.9938224e-6,2.9938224e-6,gc,1196.8666666666666,-0.399,i2,-4.245599e-9,4.245599e-9,transfer_2
swv,45,1199.55,-0.288,i2,2.9359398e-6,2.9359398e-6,gc,1199.3833333333334,-0.399,i2,-3.9116954e-9,3.9116954e-9,transfer_2
swv,46,1202.05,-0.286,i2,2.9770845e-6,2.9770845e-6,gc,1201.8833333333334,-0.207,i2,3.5851584e-9,3.5851584e-9,transfer_2
swv,47,1204.55,-0.288,i2,2.9041125e-6,2.9041125e-6,gc,1204.3833333333334,-0.205,i2,3.4972893e-9,3.4972893e-9,transfer_2
swv,48,1207.05,-0.295,i2,2.9599341e-6,2.9599341e-6,gc,1206.8833333333334,-0.209,i2,3.6314896e-9,3.6314896e-9,transfer_2
swv,4,1097.0333333333333,-0.287,i2,5.9468302e-6,5.9468302e-6,gc,1096.8666666666666,-0.399,i2,-3.7123036e-7,3.7123036e-7,transfer_2
swv,49,1209.55,-0.287,i2,2.9560588e-6,2.9560588e-6,gc,1209.3833333333334,-0.205,i2,3.6099217e-9,3.6099217e-9,transfer_2
swv,50,1212.05,-0.281,i2,2.9327241e-6,2.9327241e-6,gc,1211.8833333333334,-0.205,i2,3.6650398e-9,3.6650398e-9,transfer_2
swv,51,1214.55,-0.287,i2,2.9119456e-6,2.9119456e-6,gc,1214.3833333333334,-0.202,i2,3.6690337e-9,3.6690337e-9,transfer_2
swv,52,1217.05,-0.289,i2,2.8679151e-6,2.8679151e-6,gc,1216.8833333333334,-0.205,i2,3.7377315e-9,3.7377315e-9,transfer_2
swv,53,1219.55,-0.299,i2,2.9400626e-6,2.9400626e-6,gc,1219.3833333333334,-0.208,i2,3.6993886e-9,3.6993886e-9,transfer_2
swv,54,1222.05,-0.283,i2,2.9212633e-6,2.9212633e-6,gc,1221.8833333333334,-0.208,i2,3.6235015e-9,3.6235015e-9,transfer_2
swv,55,1224.55,-0.291,i2,2.8784693e-6,2.8784693e-6,gc,1224.3833333333334,-0.209,i2,3.5987382e-9,3.5987382e-9,transfer_2
swv,56,1227.05,-0.29,i2,2.9259629e-6,2.9259629e-6,gc,1226.8833333333334,-0.201,i2,3.7952463e-9,3.7952463e-9,transfer_2
swv,57,1229.55,-0.297,i2,2.8286672e-6,2.8286672e-6,gc,1229.3833333333334,-0.207,i2,3.6410752e-9,3.6410752e-9,transfer_2
swv,58,1232.05,-0.297,i2,2.9008145e-6,2.9008145e-6,gc,1231.8833333333334,-0.203,i2,3.6322885e-9,3.6322885e-9,transfer_2
swv,5,1099.5333333333333,-0.286,i2,5.6885847e-6,5.6885847e-6,gc,1099.3666666666666,-0.399,i2,-3.0751707e-7,3.0751707e-7,transfer_2
swv,59,1234.55,-0.3,i2,2.8918271e-6,2.8918271e-6,gc,1234.3833333333334,-0.202,i2,3.6850099e-9,3.6850099e-9,transfer_2
swv,60,1237.05,-0.282,i2,2.9129353e-6,2.9129353e-6,gc,1236.8833333333334,-0.204,i2,3.6418741e-9,3.6418741e-9,transfer_2
swv,61,1239.55,-0.302,i2,2.8795412e-6,2.8795412e-6,gc,1239.3833333333334,-0.21,i2,3.6953947e-9,3.6953947e-9,transfer_2
swv,6,1102.0333333333333,-0.285,i2,5.2414362e-6,5.2414362e-6,gc,1101.8666666666666,-0.399,i2,-2.5729415e-7,2.5729415e-7,transfer_2
swv,7,1104.55,-0.279,i2,5.0236754e-6,5.0236754e-6,gc,1104.3666666666666,-0.399,i2,-2.2053761e-7,2.2053761e-7,transfer_2
swv,8,1107.05,-0.288,i2,4.8100369e-6,4.8100369e-6,gc,1106.8666666666666,-0.399,i2,-1.8922258e-7,1.8922258e-7,transfer_2
swv,0,1277.7333333333333,-0.274,i1,1.129859e-5,1.129859e-5,NA,NA,NA,NA,NA,NA,transfer_3
swv,9,1300.2333333333333,-0.278,i1,7.2982516e-6,7.2982516e-6,gc,1300.0666666666666,-0.399,i2,-1.953934e-7,1.953934e-7,transfer_3
swv,99,85.31666666666666,-0.246,i1,4.4947328e-6,4.4947328e-6,gc,85.13333333333334,-0.215,i2,3.7097732e-9,3.7097732e-9,transfer_3
swv,10,1302.7333333333333,-0.278,i1,7.0606193e-6,7.0606193e-6,gc,1302.5666666666666,-0.399,i2,-1.6681669e-7,1.6681669e-7,transfer_3
swv,11,1305.2333333333333,-0.278,i1,6.8159779e-6,6.8159779e-6,gc,1305.0666666666666,-0.399,i2,-1.4365433e-7,1.4365433e-7,transfer_3
swv,12,1307.7333333333333,-0.275,i1,6.5990416e-6,6.5990416e-6,gc,1307.5666666666666,-0.399,i2,-1.240339e-7,1.240339e-7,transfer_3
swv,13,1310.25,-0.28,i1,6.422837e-6,6.422837e-6,gc,1310.0666666666666,-0.399,i2,-1.0837638e-7,1.0837638e-7,transfer_3
swv,14,1312.75,-0.283,i1,6.2611448e-6,6.2611448e-6,gc,1312.5666666666666,-0.399,i2,-9.4741452e-8,9.4741452e-8,transfer_3
swv,15,1315.25,-0.284,i1,6.1322694e-6,6.1322694e-6,gc,1315.0666666666666,-0.399,i2,-8.367391e-8,8.367391e-8,transfer_3
swv,16,1317.75,-0.278,i1,5.9828626e-6,5.9828626e-6,gc,1317.5666666666666,-0.399,i2,-7.381017e-8,7.381017e-8,transfer_3
swv,17,1320.25,-0.271,i1,5.8678393e-6,5.8678393e-6,gc,1320.0666666666666,-0.399,i2,-6.542983e-8,6.542983e-8,transfer_3
swv,18,1322.75,-0.275,i1,5.783324e-6,5.783324e-6,gc,1322.5666666666666,-0.399,i2,-5.8620756e-8,5.8620756e-8,transfer_3
swv,1,1280.2333333333333,-0.276,i1,1.1304031e-5,1.1304031e-5,gc,1280.0666666666666,-0.399,i2,-9.1490523e-7,9.1490523e-7,transfer_3
swv,19,1325.25,-0.277,i1,5.6680533e-6,5.6680533e-6,gc,1325.0666666666666,-0.399,i2,-5.2669602e-8,5.2669602e-8,transfer_3
swv,20,1327.75,-0.274,i1,5.6055533e-6,5.6055533e-6,gc,1327.5666666666666,-0.399,i2,-4.6691291e-8,4.6691291e-8,transfer_3
swv,21,1330.25,-0.281,i1,5.5174919e-6,5.5174919e-6,gc,1330.0833333333333,-0.399,i2,-4.2282643e-8,4.2282643e-8,transfer_3
swv,22,1332.75,-0.276,i1,5.4395732e-6,5.4395732e-6,gc,1332.5833333333333,-0.399,i2,-3.8314948e-8,3.8314948e-8,transfer_3
swv,23,1335.25,-0.28,i1,5.3877097e-6,5.3877097e-6,gc,1335.0833333333333,-0.399,i2,-3.3994969e-8,3.3994969e-8,transfer_3
swv,24,1337.75,-0.278,i1,5.3446688e-6,5.3446688e-6,gc,1337.5833333333333,-0.399,i2,-3.0357178e-8,3.0357178e-8,transfer_3
swv,25,1340.25,-0.272,i1,5.2687283e-6,5.2687283e-6,gc,1340.0833333333333,-0.399,i2,-2.8446417e-8,2.8446417e-8,transfer_3
swv,26,1342.75,-0.28,i1,5.2279138e-6,5.2279138e-6,gc,1342.5833333333333,-0.397,i2,-2.5121761e-8,2.5121761e-8,transfer_3
swv,27,1345.25,-0.271,i1,5.1988072e-6,5.1988072e-6,gc,1345.0833333333333,-0.399,i2,-2.3261327e-8,2.3261327e-8,transfer_3
swv,28,1347.75,-0.284,i1,5.1418319e-6,5.1418319e-6,gc,1347.5833333333333,-0.399,i2,-2.0365633e-8,2.0365633e-8,transfer_3
swv,2,1282.7333333333333,-0.277,i1,1.0719681e-5,1.0719681e-5,gc,1282.5666666666666,-0.395,i2,-7.5541038e-7,7.5541038e-7,transfer_3
swv,29,1350.25,-0.283,i1,5.0969766e-6,5.0969766e-6,gc,1350.0833333333333,-0.399,i2,-1.9055578e-8,1.9055578e-8,transfer_3
swv,30,1352.75,-0.277,i1,5.0724057e-6,5.0724057e-6,gc,1352.5833333333333,-0.399,i2,-1.6738225e-8,1.6738225e-8,transfer_3
swv,31,1355.25,-0.273,i1,5.0331573e-6,5.0331573e-6,gc,1355.0833333333333,-0.399,i2,-1.5151782e-8,1.5151782e-8,transfer_3
swv,32,1357.75,-0.273,i1,5.0157596e-6,5.0157596e-6,gc,1357.5833333333333,-0.394,i2,-1.450874e-8,1.450874e-8,transfer_3
swv,33,1360.2666666666667,-0.278,i1,5.0108124e-6,5.0108124e-6,gc,1360.0833333333333,-0.397,i2,-1.3356853e-8,1.3356853e-8,transfer_3
swv,34,1362.7666666666667,-0.275,i1,4.9464156e-6,4.9464156e-6,gc,1362.5833333333333,-0.397,i2,-1.1509997e-8,1.1509997e-8,transfer_3
swv,35,1365.2666666666667,-0.28,i1,4.9279461e-6,4.9279461e-6,gc,1365.0833333333333,-0.398,i2,-1.0404442e-8,1.0404442e-8,transfer_3
swv,36,1367.7666666666667,-0.268,i1,4.9134342e-6,4.9134342e-6,gc,1367.5833333333333,-0.397,i2,-9.8229069e-9,9.8229069e-9,transfer_3
swv,37,1370.2666666666667,-0.266,i1,4.8728671e-6,4.8728671e-6,gc,1370.0833333333333,-0.399,i2,-9.3420214e-9,9.3420214e-9,transfer_3
swv,38,1372.7666666666667,-0.275,i1,4.863467e-6,4.863467e-6,gc,1372.5833333333333,-0.399,i2,-8.5384162e-9,8.5384162e-9,transfer_3
swv,3,1285.2333333333333,-0.279,i1,1.0049247e-5,1.0049247e-5,gc,1285.0666666666666,-0.382,i2,-6.1144362e-7,6.1144362e-7,transfer_3
swv,39,1375.2666666666667,-0.276,i1,4.8338661e-6,4.8338661e-6,gc,1375.0833333333333,-0.381,i2,-8.0239806e-9,8.0239806e-9,transfer_3
swv,40,1377.7666666666667,-0.265,i1,4.8231473e-6,4.8231473e-6,gc,1377.6,-0.398,i2,-6.3249073e-9,6.3249073e-9,transfer_3
swv,41,1380.2666666666667,-0.263,i1,4.8035226e-6,4.8035226e-6,gc,1380.1,-0.399,i2,-5.6946443e-9,5.6946443e-9,transfer_3
swv,42,1382.7666666666667,-0.267,i1,4.8061611e-6,4.8061611e-6,gc,1382.6,-0.399,i2,-5.2776645e-9,5.2776645e-9,transfer_3
swv,43,1385.2666666666667,-0.269,i1,4.7725207e-6,4.7725207e-6,gc,1385.1,-0.399,i2,-5.1858011e-9,5.1858011e-9,transfer_3
swv,44,1387.7666666666667,-0.265,i1,4.759987e-6,4.759987e-6,gc,1387.6,-0.398,i2,-4.6402122e-9,4.6402122e-9,transfer_3
swv,45,1390.2666666666667,-0.259,i1,4.7576787e-6,4.7576787e-6,gc,1390.1,-0.396,i2,-4.4429056e-9,4.4429056e-9,transfer_3
swv,46,1392.7666666666667,-0.262,i1,4.7693047e-6,4.7693047e-6,gc,1392.6,-0.397,i2,-4.3446517e-9,4.3446517e-9,transfer_3
swv,47,1395.2666666666667,-0.267,i1,4.7296444e-6,4.7296444e-6,gc,1395.1,-0.399,i2,-4.0658663e-9,4.0658663e-9,transfer_3
swv,48,1397.7666666666667,-0.262,i1,4.7401986e-6,4.7401986e-6,gc,1397.6,-0.397,i2,-3.9740029e-9,3.9740029e-9,transfer_3
