measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount,calcConc
PCN,dPHZstar,50uM,PCA,cells,1,8.686,915,364.0nm,0.06,1.72
PYO,dPHZstar,50uM,PCA,cells,1,5.963,21,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,50uM,PCA,cells,2,3.19,2312,364.0nm,0.152,4.357333333333333
PCN,dPHZstar,50uM,PCA,cells,2,8.689,356,364.0nm,0.023,0.6593333333333333
PYO,dPHZstar,50uM,PCA,cells,2,5.93,25,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,50uM,PCA,cells,3,3.172,3501,364.0nm,0.23,6.593333333333334
PCN,dPHZstar,50uM,PCA,cells,3,8.692,660,364.0nm,0.044,1.2613333333333334
PCA,dPHZstar,50uM,PCN,cells,1,3.444,191,364.0nm,0.013,0.37266666666666665
PCN,dPHZstar,50uM,PCN,cells,1,8.852,33228,364.0nm,2.192,62.83733333333334
PYO,dPHZstar,50uM,PCN,cells,1,5.963,29,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,50uM,PCN,cells,2,3.442,110,364.0nm,0.007,0.2006666666666667
PCN,dPHZstar,50uM,PCN,cells,2,8.853,34817,364.0nm,2.297,65.84733333333334
PYO,dPHZstar,50uM,PCN,cells,2,5.907,32,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,50uM,PCN,cells,3,3.444,109,364.0nm,0.007,0.2006666666666667
PCN,dPHZstar,50uM,PCN,cells,3,8.856,32346,364.0nm,2.134,61.17466666666667
PYO,dPHZstar,50uM,PCN,cells,3,6.071,27,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,50uM,PYO,cells,1,2.959,114,364.0nm,0.007,0.2006666666666667
PCN,dPHZstar,50uM,PYO,cells,1,8.692,1036,364.0nm,0.068,1.9493333333333336
PYO,dPHZstar,50uM,PYO,cells,1,6.008,251039,313.0nm,7.722,221.36400000000003
PCA,dPHZstar,50uM,PYO,cells,2,3.014,91,364.0nm,0.006,0.17200000000000001
PCN,dPHZstar,50uM,PYO,cells,2,8.687,365,364.0nm,0.024,0.6880000000000001
PYO,dPHZstar,50uM,PYO,cells,2,6,307890,313.0nm,9.471,271.502
PCA,dPHZstar,50uM,PYO,cells,3,3.192,71,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,50uM,PYO,cells,3,8.69,841,364.0nm,0.055,1.5766666666666667
PYO,dPHZstar,50uM,PYO,cells,3,6.002,227059,313.0nm,6.984,200.208
PCA,dLys,NA,NA,agar,1,3.027,137429,364.0nm,9.021,28.867200000000004
PCN,dLys,NA,NA,agar,1,8.841,348883,364.0nm,23.013,73.64160000000001
PYO,dLys,NA,NA,agar,1,5.992,31523,313.0nm,0.97,3.104
PCA,dLys,NA,NA,agar,2,3.029,140522,364.0nm,9.224,29.516800000000003
PCN,dLys,NA,NA,agar,2,8.847,416640,364.0nm,27.482,87.9424
PYO,dLys,NA,NA,agar,2,5.999,28760,313.0nm,0.885,2.8320000000000003
PCA,dLys,NA,NA,agar,3,3.029,168179,364.0nm,11.04,35.327999999999996
PCN,dLys,NA,NA,agar,3,8.856,492483,364.0nm,32.485,103.952
PYO,dLys,NA,NA,agar,3,6.006,35914,313.0nm,1.105,3.536
PCA,dLys,NA,NA,cells,1,3.169,12622,364.0nm,0.829,23.764666666666667
PCN,dLys,NA,NA,cells,1,8.853,279962,364.0nm,18.467,529.3873333333333
PYO,dLys,NA,NA,cells,1,6.011,88602,313.0nm,2.725,78.11666666666667
PCA,dLys,NA,NA,cells,2,3.168,10404,364.0nm,0.683,19.579333333333334
PCN,dLys,NA,NA,cells,2,8.85,295267,364.0nm,19.476,558.312
PYO,dLys,NA,NA,cells,2,6.011,90516,313.0nm,2.784,79.80799999999999
PCA,dLys,NA,NA,cells,3,3.181,7622,364.0nm,0.5,14.333333333333334
PCN,dLys,NA,NA,cells,3,8.85,276100,364.0nm,18.212,522.0773333333334
PYO,dLys,NA,NA,cells,3,6.013,88101,313.0nm,2.71,77.68666666666667
PCA,dPel,NA,NA,agar,1,3.06,114063,364.0nm,7.487,23.9584
PCN,dPel,NA,NA,agar,1,8.858,303178,364.0nm,19.998,63.99360000000001
PYO,dPel,NA,NA,agar,1,6.007,24774,313.0nm,0.762,2.4384
PCA,dPel,NA,NA,agar,2,3.056,99389,364.0nm,6.524,20.876800000000003
PCN,dPel,NA,NA,agar,2,8.87,229828,364.0nm,15.16,48.512
PYO,dPel,NA,NA,agar,2,6.014,23647,313.0nm,0.727,2.3264
PCA,dPel,NA,NA,agar,3,3.055,104913,364.0nm,6.887,22.0384
PCN,dPel,NA,NA,agar,3,8.861,217660,364.0nm,14.357,45.9424
PYO,dPel,NA,NA,agar,3,6.005,25757,313.0nm,0.792,2.5344
PCA,dPel,NA,NA,cells,1,3.181,8470,364.0nm,0.556,15.938666666666668
PCN,dPel,NA,NA,cells,1,8.852,185244,364.0nm,12.219,350.278
PYO,dPel,NA,NA,cells,1,6.009,113480,313.0nm,3.491,100.07533333333335
PCA,dPel,NA,NA,cells,2,3.186,10494,364.0nm,0.689,19.75133333333333
PCN,dPel,NA,NA,cells,2,8.85,179462,364.0nm,11.838,339.356
PYO,dPel,NA,NA,cells,2,6.005,117862,313.0nm,3.625,103.91666666666667
PCA,dPel,NA,NA,cells,3,3.197,11134,364.0nm,0.731,20.955333333333332
PCN,dPel,NA,NA,cells,3,8.84,201283,364.0nm,13.277,380.6073333333333
PYO,dPel,NA,NA,cells,3,5.993,124770,313.0nm,3.838,110.02266666666668
PCA,WTpar,NA,NA,cells,1,3.234,10524,364.0nm,0.691,19.808666666666667
PCN,WTpar,NA,NA,cells,1,8.84,227724,364.0nm,15.021,430.60200000000003
PYO,WTpar,NA,NA,cells,1,5.995,86700,313.0nm,2.667,76.454
PCA,WTpar,NA,NA,cells,2,3.222,11003,364.0nm,0.722,20.697333333333333
PCN,WTpar,NA,NA,cells,2,8.851,206671,364.0nm,13.632,390.784
PYO,WTpar,NA,NA,cells,2,6.005,84758,313.0nm,2.607,74.73400000000001
PCA,WTpar,NA,NA,cells,3,3.178,5777,364.0nm,0.379,10.864666666666666
PCN,WTpar,NA,NA,cells,3,8.84,220629,364.0nm,14.553,417.18600000000004
PYO,WTpar,NA,NA,cells,3,5.995,88787,313.0nm,2.731,78.28866666666667
PCA,pBadPel,NA,NA,agar,1,3.009,116975,364.0nm,7.679,24.5728
