# This is cleaned data quantified from HPLC runs on 10/26 , 10/29 and 10/30/2018,,,,,,,,
# measured phenazine is the phenazine identified in the chromatogram, strain is the colony biofilm strain, in some cases dPHZ strains were incubated with phenazines and that is indicated by added_phenazine and amount_added,,,,,,,
# RT is retention time in the chromatogram, area is the area of the identified peak from a given absorbance (channel Name),,,,,,,,
# Amount is the predicted amount identified in the peak based off a calibration curve from standards (in uM) - samples were diluted 0.5x and need to be corrected for extraction volumes,,,,,,,,,
measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount
PCN,WTpar,NA,NA,agar,1,8.855,393800,364.0nm,26.127
PCN,WTpar,NA,NA,agar,2,8.861,435638,364.0nm,28.902
PCN,WTpar,NA,NA,agar,3,8.854,387178,364.0nm,25.687
PCN,dPel,NA,NA,agar,1,8.858,303178,364.0nm,20.114
PCN,dPel,NA,NA,agar,2,8.87,229828,364.0nm,15.248
PCN,dPel,NA,NA,agar,3,8.861,217660,364.0nm,14.441
PCN,PHZstd,100nM,PHZstd,NA,NA,8.848,1426,364.0nm,0.095
PCN,PHZstd,500nM,PHZstd,NA,NA,8.86,6287,364.0nm,0.417
PCN,PHZstd,1uM,PHZstd,NA,NA,8.859,13598,364.0nm,0.902
PCN,PHZstd,10uM,PHZstd,NA,NA,8.855,148111,364.0nm,9.826
PYO,dPHZstar,1uM,PCA,cells,2,6.039,22,313.0nm,0.001
PYO,dPHZstar,50uM,PCA,cells,2,5.93,25,313.0nm,0.001
PYO,dPHZstar,100uM,PCA,cells,2,5.933,37,313.0nm,0.001
PYO,dPHZstar,200uM,PCA,cells,2,5.92,24,313.0nm,0.001
PYO,dPHZstar,1uM,PCA,cells,3,6.095,17,313.0nm,0.001
PYO,dPHZstar,10uM,PCA,cells,3,6.058,18,313.0nm,0.001
PYO,WTwhit,NA,NA,cells,1,6.012,73463,313.0nm,2.26
PYO,WTwhit,NA,NA,cells,2,5.999,79013,313.0nm,2.43
PYO,WTwhit,NA,NA,cells,3,6,72145,313.0nm,2.219
PYO,dLys,NA,NA,cells,1,6.011,88602,313.0nm,2.725
PYO,dLys,NA,NA,cells,2,6.011,90516,313.0nm,2.784
PYO,dLys,NA,NA,cells,3,6.013,88101,313.0nm,2.71
PYO,dPHZstar,0.1uM,PCA,cells,1,5.976,20,313.0nm,0.001
PYO,dPHZstar,1uM,PCA,cells,1,6.056,44,313.0nm,0.001
PYO,dPHZstar,10uM,PCA,cells,1,6.083,23,313.0nm,0.001
PYO,dPHZstar,50uM,PCA,cells,1,5.963,21,313.0nm,0.001
PYO,dPHZstar,100uM,PCA,cells,1,6.008,22,313.0nm,0.001
PYO,dPHZstar,200uM,PCA,cells,1,6.027,42,313.0nm,0.001
PYO,dPHZstar,1uM,PYO,cells,1,6.012,1991,313.0nm,0.061
PYO,dPHZstar,10uM,PYO,cells,1,6.004,38908,313.0nm,1.197
PYO,dPHZstar,50uM,PYO,cells,1,6.008,251039,313.0nm,7.722
PYO,dPHZstar,100uM,PYO,cells,1,6.01,470878,313.0nm,14.484
PYO,dPHZstar,200uM,PYO,cells,1,6.002,822507,313.0nm,25.301
PYO,blank,blank,blank,NA,NA,5.995,1191,313.0nm,0.037
PYO,dPHZstar,0.1uM,PYO,cells,2,6.01,448,313.0nm,0.014
PYO,dPHZstar,1uM,PYO,cells,2,6.004,2238,313.0nm,0.069
PYO,dPHZstar,10uM,PYO,cells,2,6.012,44695,313.0nm,1.375
PYO,dPHZstar,50uM,PYO,cells,2,6,307890,313.0nm,9.471
PYO,dPHZstar,100uM,PYO,cells,2,6.01,402519,313.0nm,12.382
PYO,dPHZstar,200uM,PYO,cells,2,5.997,809545,313.0nm,24.902
PYO,blank,blank,blank,NA,NA,5.973,1196,313.0nm,0.037
PYO,dPHZstar,0.1uM,PYO,cells,3,6.006,471,313.0nm,0.014
PYO,dPHZstar,1uM,PYO,cells,3,6.021,2294,313.0nm,0.071
PYO,dPHZstar,10uM,PYO,cells,3,6.011,42861,313.0nm,1.318
PYO,dPHZstar,50uM,PYO,cells,3,6.002,227059,313.0nm,6.984
PYO,dPHZstar,100uM,PYO,cells,3,6.005,364574,313.0nm,11.214
PYO,dPHZstar,200uM,PYO,cells,3,6.001,763048,313.0nm,23.472
PYO,blank,blank,blank,NA,NA,5.987,1053,313.0nm,0.032
PYO,WTpar,NA,NA,cells,1,5.995,86700,313.0nm,2.667
PYO,WTpar,NA,NA,cells,2,6.005,84758,313.0nm,2.607
PYO,WTpar,NA,NA,cells,3,5.995,88787,313.0nm,2.731
PYO,dPel,NA,NA,cells,1,6.009,113480,313.0nm,3.491
PYO,dPel,NA,NA,cells,2,6.005,117862,313.0nm,3.625
PYO,dPel,NA,NA,cells,3,5.993,124770,313.0nm,3.838
PYO,blank,blank,blank,NA,NA,6.001,71,313.0nm,0.002
PYO,PHZstd,100nM,PHZstd,NA,NA,6.005,3361,313.0nm,0.1
PYO,PHZstd,500nM,PHZstd,NA,NA,5.998,16204,313.0nm,0.5
PYO,PHZstd,1uM,PHZstd,NA,NA,6.009,31627,313.0nm,1
PYO,PHZstd,2uM,PHZstd,NA,NA,6.001,64011,313.0nm,2
PYO,PHZstd,5uM,PHZstd,NA,NA,6.004,163853,313.0nm,5
PYO,PHZstd,10uM,PHZstd,NA,NA,6.01,327378,313.0nm,10
PYO,PHZstd,20uM,PHZstd,NA,NA,5.994,655983,313.0nm,20
PYO,PHZstd,50uM,PHZstd,NA,NA,5.996,1655838,313.0nm,50
PYO,PHZstd,100uM,PHZstd,NA,NA,5.992,3234346,313.0nm,100
PYO,pBadPel,NA,NA,cells,1,6.001,89148,313.0nm,2.745
PYO,pBadPel,NA,NA,agar,1,6.003,20324,313.0nm,0.626
PYO,WTwhit,NA,NA,agar,1,6.011,16108,313.0nm,0.496
PYO,WTwhit,NA,NA,agar,2,6.011,26065,313.0nm,0.802
PYO,WTwhit,NA,NA,agar,3,6.005,23599,313.0nm,0.727
PYO,dLys,NA,NA,agar,1,5.992,31523,313.0nm,0.97
PYO,dLys,NA,NA,agar,2,5.999,28760,313.0nm,0.885
PYO,dLys,NA,NA,agar,3,6.006,35914,313.0nm,1.106
PYO,dPHZstar,0.1uM,PCN,cells,1,6.05,20,313.0nm,0.001
PYO,dPHZstar,1uM,PCN,cells,1,5.903,16,313.0nm,0
PYO,dPHZstar,10uM,PCN,cells,1,6.01,33,313.0nm,0.001
PYO,dPHZstar,50uM,PCN,cells,1,5.963,29,313.0nm,0.001
PYO,dPHZstar,100uM,PCN,cells,1,5.962,23,313.0nm,0.001
PYO,dPHZstar,200uM,PCN,cells,1,6.013,31,313.0nm,0.001
PYO,dPHZstar,0.1uM,PCN,cells,2,5.95,21,313.0nm,0.001
PYO,dPHZstar,1uM,PCN,cells,2,5.985,24,313.0nm,0.001
PYO,dPHZstar,50uM,PCN,cells,2,5.907,32,313.0nm,0.001
PYO,dPHZstar,200uM,PCN,cells,2,5.946,20,313.0nm,0.001
PYO,dPHZstar,0.1uM,PCN,cells,3,5.911,27,313.0nm,0.001
PYO,dPHZstar,1uM,PCN,cells,3,6.048,44,313.0nm,0.001
PYO,dPHZstar,10uM,PCN,cells,3,5.946,25,313.0nm,0.001
PYO,dPHZstar,50uM,PCN,cells,3,6.071,27,313.0nm,0.001
PYO,dPHZstar,100uM,PCN,cells,3,6.035,27,313.0nm,0.001
PYO,dPHZstar,200uM,PCN,cells,3,6.067,26,313.0nm,0.001
PYO,WTpar,NA,NA,agar,1,6.008,25687,313.0nm,0.791
PYO,WTpar,NA,NA,agar,2,6.009,27091,313.0nm,0.834
PYO,WTpar,NA,NA,agar,3,6.003,24705,313.0nm,0.761
PYO,dPel,NA,NA,agar,1,6.007,24774,313.0nm,0.763
PYO,dPel,NA,NA,agar,2,6.014,23647,313.0nm,0.728
PYO,dPel,NA,NA,agar,3,6.005,25757,313.0nm,0.793
PYO,PHZstd,100nM,PHZstd,NA,NA,5.992,3277,313.0nm,0.101
PYO,PHZstd,500nM,PHZstd,NA,NA,6.001,15021,313.0nm,0.462
PYO,PHZstd,1uM,PHZstd,NA,NA,6.002,31367,313.0nm,0.966
PYO,PHZstd,10uM,PHZstd,NA,NA,5.999,320762,313.0nm,9.875
