echem_swv,rep,minutes_swv,E_swv,electrode_swv,current_swv,max_current_swv,echem_gc,minutes_gc,E_gc,electrode_gc,current_gc,max_current_gc,reactor
swv,46,1254.8,-0.252,i2,4.1281423e-6,4.1281423e-6,gc,1254.6333333333334,-0.154,i2,3.5052772e-9,3.5052772e-9,transfer
swv,4,1149.7833333333333,-0.275,i2,6.8968652e-6,6.8968652e-6,gc,1149.6,-0.399,i2,-5.5559946e-7,5.5559946e-7,transfer
swv,5,1152.2833333333333,-0.273,i2,6.2222266e-6,6.2222266e-6,gc,1152.1,-0.399,i2,-4.1706065e-7,4.1706065e-7,transfer
swv,6,1154.7833333333333,-0.269,i2,5.7532279e-6,5.7532279e-6,gc,1154.6,-0.399,i2,-3.175989e-7,3.175989e-7,transfer
swv,7,1157.2833333333333,-0.267,i2,5.3511003e-6,5.3511003e-6,gc,1157.1,-0.399,i2,-2.4525846e-7,2.4525846e-7,transfer
swv,8,1159.7833333333333,-0.273,i2,5.0975541e-6,5.0975541e-6,gc,1159.6166666666666,-0.399,i2,-1.9117647e-7,1.9117647e-7,transfer
swv,0,1083.8,-0.217,i1,1.8162143e-6,1.8162143e-6,NA,NA,NA,NA,NA,NA,soak
swv,9,1106.3,-0.268,i1,1.2650258e-5,1.2650258e-5,gc,1106.1333333333334,-0.399,i2,-1.4851613e-6,1.4851613e-6,soak
swv,10,1108.8,-0.268,i1,1.2898528e-5,1.2898528e-5,gc,1108.6333333333334,-0.399,i2,-1.5128658e-6,1.5128658e-6,soak
swv,11,1111.3,-0.266,i1,1.3137479e-5,1.3137479e-5,gc,1111.1333333333334,-0.399,i2,-1.5334057e-6,1.5334057e-6,soak
swv,12,1113.8,-0.268,i1,1.338822e-5,1.338822e-5,gc,1113.6333333333334,-0.399,i2,-1.5503684e-6,1.5503684e-6,soak
swv,13,1116.3,-0.27,i1,1.3608786e-5,1.3608786e-5,gc,1116.1333333333334,-0.399,i2,-1.5629018e-6,1.5629018e-6,soak
swv,14,1118.8,-0.27,i1,1.3802471e-5,1.3802471e-5,gc,1118.6333333333334,-0.399,i2,-1.5719188e-6,1.5719188e-6,soak
swv,15,1121.3,-0.27,i1,1.3950641e-5,1.3950641e-5,gc,1121.1333333333334,-0.399,i2,-1.5778379e-6,1.5778379e-6,soak
swv,16,1123.8,-0.269,i1,1.4154384e-5,1.4154384e-5,gc,1123.6333333333334,-0.399,i2,-1.5842827e-6,1.5842827e-6,soak
