PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,soak,1,SWV,0,919.7833333333333,-0.222,75,i2,6.8383688e-6,6.8383688e-6,-0.009,6.5532862e-7,6.5532862e-7,6.1830401799999996e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,1,SWV,0,922.9166666666666,-0.216,75,i2,3.3521951e-6,3.3521951e-6,-0.003,6.6469181e-7,6.6469181e-7,2.68750329e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,1,SWV,9,948.4833333333333,-0.319,75,i2,3.3896827e-6,3.3896827e-6,-0.001,6.6356506e-7,6.6356506e-7,2.7261176399999997e-6,75uM,GC,948.25,-0.399,133.33363,75,i2,3.0446891e-8,3.0446891e-8,-0.19,63.666569,7.1604744e-9,7.1604744e-9,2.3286416600000005e-8
75uM,control,transfer,1,SWV,10,951.2,-0.316,75,i2,3.3823028e-6,3.3823028e-6,-0.002,6.5840396e-7,6.5840396e-7,2.7238988400000003e-6,75uM,GC,950.95,-0.399,133.33363,75,i2,2.5776037e-8,2.5776037e-8,-0.203,67.999931,6.6347936e-9,6.6347936e-9,1.91412434e-8
75uM,control,transfer,1,SWV,11,953.8833333333333,-0.318,75,i2,3.3900567e-6,3.3900567e-6,-0,6.570537e-7,6.570537e-7,2.733003e-6,75uM,GC,953.6333333333333,-0.399,133.33363,75,i2,2.4504031e-8,2.4504031e-8,-0.19,63.666569,6.5173196e-9,6.5173196e-9,1.7986711399999998e-8
75uM,control,transfer,1,SWV,12,956.6,-0.314,75,i2,3.3284707e-6,3.3284707e-6,-0.002,6.6037001e-7,6.6037001e-7,2.66810069e-6,75uM,GC,956.35,-0.399,133.33363,75,i2,2.2027375e-8,2.2027375e-8,-0.195,65.333244,6.2776433e-9,6.2776433e-9,1.57497317e-8
75uM,control,transfer,1,SWV,13,959.3333333333334,-0.314,75,i2,3.3072845e-6,3.3072845e-6,-0,6.5439968e-7,6.5439968e-7,2.65288482e-6,75uM,GC,959.0833333333334,-0.399,133.33363,75,i2,1.9099614e-8,1.9099614e-8,-0.188,62.999905,5.6934617e-9,5.6934617e-9,1.3406152299999998e-8
75uM,control,transfer,1,SWV,14,962.0833333333334,-0.316,75,i2,3.2963503e-6,3.2963503e-6,-0.002,6.5041723e-7,6.5041723e-7,2.6459330700000003e-6,75uM,GC,961.8,-0.399,133.33363,75,i2,1.9159769e-8,1.9159769e-8,-0.195,65.333244,5.807391e-9,5.807391e-9,1.3352378e-8
75uM,control,transfer,1,SWV,15,964.8333333333334,-0.316,75,i2,3.3062806e-6,3.3062806e-6,-0.001,6.5868517e-7,6.5868517e-7,2.64759543e-6,75uM,GC,964.5166666666667,-0.399,133.33363,75,i2,1.738926e-8,1.738926e-8,-0.2,66.999924,5.3326477e-9,5.3326477e-9,1.20566123e-8
75uM,control,transfer,1,SWV,1,925.8,-0.324,75,i2,2.2236648e-6,2.2236648e-6,-0.002,6.7600303e-7,6.7600303e-7,1.54766177e-6,75uM,GC,925.5333333333333,-0.399,133.33363,75,i2,1.511123e-7,1.511123e-7,-0.163,54.666603,1.5710819e-8,1.5710819e-8,1.35401481e-7
75uM,control,transfer,1,SWV,2,928.6166666666667,-0.324,75,i2,3.0412239e-6,3.0412239e-6,-0.002,6.8279394e-7,6.8279394e-7,2.35842996e-6,75uM,GC,928.3666666666667,-0.399,133.33363,75,i2,9.1375128e-8,9.1375128e-8,-0.172,57.666592,1.4221825e-8,1.4221825e-8,7.715330299999999e-8
75uM,control,transfer,1,SWV,3,931.45,-0.331,75,i2,3.0777103e-6,3.0777103e-6,-0.003,6.9128509e-7,6.9128509e-7,2.38642521e-6,75uM,GC,931.05,-0.399,133.33363,75,i2,7.6917729e-8,7.6917729e-8,-0.182,60.999912,1.2848411e-8,1.2848411e-8,6.406931799999999e-8
75uM,control,transfer,1,SWV,4,934.5166666666667,-0.322,75,i2,3.3478318e-6,3.3478318e-6,-0.004,6.7740791e-7,6.7740791e-7,2.67042389e-6,75uM,GC,934.25,-0.399,133.33363,75,i2,5.9612823e-8,5.9612823e-8,-0.157,52.666611,1.1366509e-8,1.1366509e-8,4.8246313999999995e-8
75uM,control,transfer,1,SWV,5,937.6333333333333,-0.319,75,i2,3.5109267e-6,3.5109267e-6,-0,6.7395729e-7,6.7395729e-7,2.83696941e-6,75uM,GC,937.4,-0.399,133.33363,75,i2,5.3605909e-8,5.3605909e-8,-0.193,64.666573,1.1011132e-8,1.1011132e-8,4.2594777e-8
75uM,control,transfer,1,SWV,6,940.3333333333334,-0.318,75,i2,3.5160951e-6,3.5160951e-6,-0,6.6835707e-7,6.6835707e-7,2.84773803e-6,75uM,GC,940.0833333333334,-0.399,133.33363,75,i2,4.0711488e-8,4.0711488e-8,-0.192,64.333237,9.5289909e-9,9.5289909e-9,3.1182497100000005e-8
75uM,control,transfer,1,SWV,7,943.0666666666667,-0.319,75,i2,3.362275e-6,3.362275e-6,-0.001,6.6874946e-7,6.6874946e-7,2.69352554e-6,75uM,GC,942.8333333333334,-0.399,133.33363,75,i2,4.0746706e-8,4.0746706e-8,-0.196,65.66658,7.8349478e-9,7.8349478e-9,3.2911758199999996e-8
75uM,control,transfer,1,SWV,8,945.7833333333333,-0.321,75,i2,3.4087534e-6,3.4087534e-6,-0.009,6.6372496e-7,6.6372496e-7,2.74502844e-6,75uM,GC,945.5,-0.399,133.33363,75,i2,3.3331041e-8,3.3331041e-8,-0.193,64.666573,7.3065491e-9,7.3065491e-9,2.6024491899999998e-8
75uM,control,soak,2,SWV,0,987.4833333333333,-0.223,75,i2,6.2230138e-6,6.2230138e-6,-0.015,6.6654616e-7,6.6654616e-7,5.55646764e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,2,SWV,0,991.1666666666666,-0.218,75,i2,4.810945e-6,4.810945e-6,-0.012,6.6021909e-7,6.6021909e-7,4.15072591e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,2,SWV,9,1016.6166666666667,-0.319,75,i2,2.9128194e-6,2.9128194e-6,-0.006,6.587062e-7,6.587062e-7,2.2541131999999998e-6,75uM,GC,1016.3833333333333,-0.399,133.33363,75,i2,1.5729256e-8,1.5729256e-8,-0.205,68.666603,4.2445314e-9,4.2445314e-9,1.1484724600000001e-8
75uM,control,transfer,2,SWV,10,1019.7166666666667,-0.322,75,i2,2.9084597e-6,2.9084597e-6,-0.002,6.6576575e-7,6.6576575e-7,2.24269395e-6,75uM,GC,1019.2166666666667,-0.399,133.33363,75,i2,1.1112296e-8,1.1112296e-8,-0.21,70.333282,4.2233768e-9,4.2233768e-9,6.8889192e-9
75uM,control,transfer,2,SWV,11,1022.4666666666667,-0.317,75,i2,2.8585873e-6,2.8585873e-6,-0.009,6.6056487e-7,6.6056487e-7,2.1980224300000002e-6,75uM,GC,1022.15,-0.399,133.33363,75,i2,9.7135944e-9,9.7135944e-9,-0.208,69.666611,3.8107975e-9,3.8107975e-9,5.9027969e-9
75uM,control,transfer,2,SWV,12,1025.2166666666667,-0.317,75,i2,2.7374972e-6,2.7374972e-6,-0.003,6.6438963e-7,6.6438963e-7,2.07310757e-6,75uM,GC,1024.95,-0.399,133.33363,75,i2,8.4999678e-9,8.4999678e-9,-0.207,69.333275,3.6040948e-9,3.6040948e-9,4.895873e-9
75uM,control,transfer,2,SWV,13,1027.9666666666667,-0.318,75,i2,2.7128071e-6,2.7128071e-6,-0.011,6.5625824e-7,6.5625824e-7,2.05654886e-6,75uM,GC,1027.6666666666667,-0.399,133.33363,75,i2,1.0945657e-8,1.0945657e-8,-0.205,68.666603,3.5503214e-9,3.5503214e-9,7.3953356000000005e-9
75uM,control,transfer,2,SWV,14,1030.5833333333333,-0.315,75,i2,2.6909179e-6,2.6909179e-6,-0.012,6.6279051e-7,6.6279051e-7,2.02812739e-6,75uM,GC,1030.3666666666666,-0.399,133.33363,75,i2,1.0811991e-8,1.0811991e-8,-0.213,71.33329,3.543112e-9,3.543112e-9,7.268879e-9
