PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,transfer,1,SWV,14,991.7833333333333,-0.346,75,i2,1.9976628e-6,1.9976628e-6,-0.024,5.7800261e-8,5.7800261e-8,1.939862539e-6,75uM,GC,991.4166666666666,-0.399,133.33363,75,i2,1.5683634e-8,1.5683634e-8,-0.209,69.999947,7.0139632e-9,7.0139632e-9,8.669670799999999e-9
75uM,control,transfer,1,SWV,15,994.5666666666667,-0.352,75,i2,1.9885103e-6,1.9885103e-6,-0.028,6.6029173e-8,6.6029173e-8,1.922481127e-6,75uM,GC,994.2333333333333,-0.399,133.33363,75,i2,1.5353406e-8,1.5353406e-8,-0.209,69.999947,6.9153101e-9,6.9153101e-9,8.438095899999998e-9
75uM,control,transfer,1,SWV,1,954.6666666666666,-0.272,75,i2,1.3404054e-6,1.3404054e-6,-0.059,7.8281843e-8,7.8281843e-8,1.262123557e-6,75uM,GC,954.3666666666667,-0.399,133.33363,75,i2,3.3464687e-7,3.3464687e-7,-0.163,54.666603,2.9937162e-8,2.9937162e-8,3.0470970800000003e-7
75uM,control,transfer,1,SWV,2,957.35,-0.366,75,i2,1.7225303e-6,1.7225303e-6,-0.018,8.7203361e-8,8.7203361e-8,1.635326939e-6,75uM,GC,957.1,-0.399,133.33363,75,i2,1.9688729e-7,1.9688729e-7,-0.169,56.666595,2.3909644e-8,2.3909644e-8,1.72977646e-7
75uM,control,transfer,1,SWV,3,960.0833333333334,-0.358,75,i2,1.9746581e-6,1.9746581e-6,-0.023,7.808395e-8,7.808395e-8,1.89657415e-6,75uM,GC,959.8333333333334,-0.399,133.33363,75,i2,1.3323783e-7,1.3323783e-7,-0.167,55.999931,2.0071671e-8,2.0071671e-8,1.1316615900000002e-7
75uM,control,transfer,1,SWV,4,963.0166666666667,-0.362,75,i2,1.8409507e-6,1.8409507e-6,-0.028,8.3361002e-8,8.3361002e-8,1.757589698e-6,75uM,GC,962.5833333333334,-0.399,133.33363,75,i2,9.4199699e-8,9.4199699e-8,-0.178,59.666584,1.6744776e-8,1.6744776e-8,7.7454923e-8
75uM,control,transfer,1,SWV,5,965.75,-0.348,75,i2,2.0658194e-6,2.0658194e-6,-0.021,7.0036435e-8,7.0036435e-8,1.995782965e-6,75uM,GC,965.45,-0.399,133.33363,75,i2,7.0591526e-8,7.0591526e-8,-0.184,61.666576,1.4271574e-8,1.4271574e-8,5.6319952e-8
75uM,control,transfer,1,SWV,6,968.45,-0.353,75,i2,2.0897805e-6,2.0897805e-6,-0.023,7.3515999e-8,7.3515999e-8,2.016264501e-6,75uM,GC,968.2,-0.399,133.33363,75,i2,5.5431819e-8,5.5431819e-8,-0.179,59.999916,1.2711252e-8,1.2711252e-8,4.2720567e-8
75uM,control,transfer,1,SWV,7,971.6666666666666,-0.354,75,i2,1.770568e-6,1.770568e-6,-0.027,7.6105053e-8,7.6105053e-8,1.694462947e-6,75uM,GC,970.9,-0.399,133.33363,75,i2,4.3159424e-8,4.3159424e-8,-0.19,63.666569,1.133466e-8,1.133466e-8,3.1824764e-8
75uM,control,transfer,1,SWV,8,974.4,-0.343,75,i2,2.042188e-6,2.042188e-6,-0.003,6.9690131e-8,6.9690131e-8,1.9724978690000004e-6,75uM,GC,974.1166666666667,-0.399,133.33363,75,i2,3.3903586e-8,3.3903586e-8,-0.195,65.333244,1.006383e-8,1.006383e-8,2.3839755999999995e-8
75uM,control,soak,2,SWV,0,1009.4,-0.265,75,i2,2.8249403e-6,2.8249403e-6,-0.088,8.039266e-8,8.039266e-8,2.7445476399999997e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,2,SWV,0,1017.4666666666667,-0.273,75,i2,1.4631959e-6,1.4631959e-6,-0.023,8.1415088e-8,8.1415088e-8,1.381780812e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,2,SWV,9,1042.5833333333333,-0.354,75,i2,2.0766208e-6,2.0766208e-6,-0.008,7.58412e-8,7.58412e-8,2.0007795999999997e-6,75uM,GC,1042.3,-0.399,133.33363,75,i2,1.2988999e-8,1.2988999e-8,-0.212,70.999954,5.9018568e-9,5.9018568e-9,7.087142199999999e-9
75uM,control,transfer,2,SWV,10,1045.3833333333334,-0.35,75,i2,2.0517691e-6,2.0517691e-6,-0.002,7.1784463e-8,7.1784463e-8,1.979984637e-6,75uM,GC,1045.05,-0.399,133.33363,75,i2,1.1268838e-8,1.1268838e-8,-0.213,71.33329,5.8250906e-9,5.8250906e-9,5.4437473999999995e-9
75uM,control,transfer,2,SWV,11,1048.2333333333333,-0.352,75,i2,1.9909346e-6,1.9909346e-6,-0.016,7.3334597e-8,7.3334597e-8,1.917600003e-6,75uM,GC,1047.9166666666667,-0.399,133.33363,75,i2,1.0727723e-8,1.0727723e-8,-0.217,72.666634,5.6336154e-9,5.6336154e-9,5.0941075999999995e-9
75uM,control,transfer,2,SWV,12,1050.9666666666667,-0.357,75,i2,1.9685235e-6,1.9685235e-6,-0.016,7.5313494e-8,7.5313494e-8,1.893210006e-6,75uM,GC,1050.6666666666667,-0.399,133.33363,75,i2,9.9771587e-9,9.9771587e-9,-0.218,72.999969,5.3440461e-9,5.3440461e-9,4.6331125999999995e-9
75uM,control,transfer,2,SWV,13,1053.9333333333334,-0.355,75,i2,1.9089753e-6,1.9089753e-6,-0.062,7.999688e-8,7.999688e-8,1.82897842e-6,75uM,GC,1053.6166666666666,-0.399,133.33363,75,i2,9.8222683e-9,9.8222683e-9,-0.218,72.999969,5.40859e-9,5.40859e-9,4.4136783e-9
75uM,control,transfer,2,SWV,14,1056.6833333333334,-0.359,75,i2,1.9162478e-6,1.9162478e-6,-0.001,7.1718496000000007e-08,7.1718496000000007e-08,1.844529304e-6,75uM,GC,1056.4,-0.399,133.33363,75,i2,8.8099332e-9,8.8099332e-9,-0.221,73.999977,5.1714228e-9,5.1714228e-9,3.638510399999999e-9
75uM,control,transfer,2,SWV,15,1059.5,-0.352,75,i2,1.8705518e-6,1.8705518e-6,-0.003,7.4488952e-8,7.4488952e-8,1.796062848e-6,75uM,GC,1059.15,-0.399,133.33363,75,i2,7.9454585e-9,7.9454585e-9,-0.222,74.333313,4.9423234e-9,4.9423234e-9,3.0031350999999997e-9
