PHZadded,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,transfer,3,SWV,6,1175.8,-0.37,75,i2,1.1634426e-6,1.1634426e-6,-0.021,3.1010956e-7,3.1010956e-7,8.533330399999999e-7,GC,1175.5333333333333,-0.399,133.33363,i2,5.618598e-9,5.618598e-9,-0.228,76.333328,2.2575948e-9,2.2575948e-9,3.3610031999999997e-09
75uM,control,transfer,3,SWV,7,1178.6,-0.367,75,i2,1.1689506e-6,1.1689506e-6,-0.021,2.9539976e-7,2.9539976e-7,8.7355084e-7,GC,1178.3166666666666,-0.399,133.33363,i2,5.2963571e-9,5.2963571e-9,-0.229,76.666664,2.4858156e-9,2.4858156e-9,2.8105414999999997e-9
75uM,control,transfer,3,SWV,8,1181.3833333333334,-0.36,75,i2,1.1414438e-6,1.1414438e-6,-0.019,2.9592746e-7,2.9592746e-7,8.455163400000001e-7,GC,1181.0666666666666,-0.398,133.00031,i2,4.5771062e-9,4.5771062e-9,-0.231,77.333336,2.2798017e-9,2.2798017e-9,2.2973045e-9
75uM,psoralen,soak,1,SWV,0,929.9833333333333,-0.221,75,i1,8.1762673e-6,8.1762673e-6,-0.002,4.8409606e-7,4.8409606e-7,7.692171239999999e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,psoralen,soak,1,SWV,1,938.4166666666666,-0.222,75,i1,7.8593066e-6,7.8593066e-6,-0,4.9818277e-7,4.9818277e-7,7.361123830000001e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,psoralen,soak,2,SWV,0,1111.7166666666667,-0.221,75,i1,6.5107088e-6,6.5107088e-6,-0.01,5.3034898e-7,5.3034898e-7,5.98035982e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,psoralen,soak,3,SWV,0,1173.8666666666666,-0.22,75,i1,5.6709014e-6,5.6709014e-6,-0.012,5.1974814e-7,5.1974814e-7,5.15115326e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,psoralen,transfer,1,SWV,0,952.2166666666667,-0.217,75,i1,6.3921152e-6,6.3921152e-6,-0.001,4.9291373e-7,4.9291373e-7,5.899201470000001e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,psoralen,transfer,1,SWV,9,987.3833333333333,-0.216,75,i1,1.0413681e-6,1.0413681e-6,-0.023,5.2379357e-7,5.2379357e-7,5.1757453e-7,GC,987.1333333333333,-0.393,164.66649,i2,1.7282069e-8,1.7282069e-8,-0.187,96.000145,8.2114813e-9,8.2114813e-9,9.070587700000002e-9
75uM,psoralen,transfer,1,SWV,10,991.1666666666666,-0.217,75,i1,9.8642556e-7,9.8642556e-7,-0.044,5.2722095e-7,5.2722095e-7,4.5920461e-7,GC,990.95,-0.39,163.6665,i2,1.4343907e-8,1.4343907e-8,-0.182,94.333466,7.3163586e-9,7.3163586e-9,7.027548399999999e-9
