E,Generator,Collector
-0.305,7.79E-09,-1.93E-09
-0.306,7.82E-09,-1.93E-09
-0.307,7.85E-09,-1.93E-09
-0.308,7.90E-09,-1.93E-09
-0.309,7.93E-09,-1.93E-09
-0.31,7.94E-09,-1.94E-09
-0.311,7.97E-09,-1.93E-09
-0.312,8.00E-09,-1.94E-09
-0.313,7.99E-09,-1.94E-09
-0.314,8.02E-09,-1.94E-09
-0.315,8.02E-09,-1.94E-09
-0.316,8.03E-09,-1.93E-09
-0.317,8.04E-09,-1.94E-09
-0.318,8.04E-09,-1.94E-09
-0.319,8.06E-09,-1.94E-09
-0.32,8.06E-09,-1.94E-09
-0.321,8.08E-09,-1.94E-09
-0.322,8.11E-09,-1.95E-09
-0.323,8.14E-09,-1.95E-09
-0.324,8.16E-09,-1.96E-09
-0.325,8.21E-09,-1.95E-09
-0.326,8.25E-09,-1.96E-09
-0.327,8.28E-09,-1.96E-09
-0.328,8.34E-09,-1.96E-09
-0.329,8.34E-09,-1.96E-09
-0.33,8.38E-09,-1.97E-09
-0.331,8.41E-09,-1.97E-09
-0.332,8.43E-09,-1.97E-09
-0.333,8.45E-09,-1.98E-09
-0.334,8.48E-09,-1.98E-09
-0.335,8.49E-09,-1.98E-09
-0.336,8.50E-09,-1.98E-09
-0.337,8.52E-09,-1.98E-09
-0.338,8.53E-09,-1.99E-09
-0.339,8.53E-09,-1.99E-09
-0.34,8.54E-09,-1.99E-09
-0.341,8.56E-09,-2.00E-09
-0.342,8.57E-09,-2.00E-09
-0.343,8.59E-09,-2.00E-09
-0.344,8.63E-09,-2.01E-09
-0.345,8.64E-09,-2.01E-09
-0.346,8.68E-09,-2.01E-09
-0.347,8.71E-09,-2.01E-09
-0.348,8.77E-09,-2.02E-09
-0.349,8.79E-09,-2.02E-09
-0.35,8.83E-09,-2.02E-09
-0.351,8.88E-09,-2.02E-09
-0.352,8.93E-09,-2.03E-09
-0.353,8.94E-09,-2.03E-09
-0.354,8.98E-09,-2.03E-09
-0.355,8.99E-09,-2.03E-09
-0.356,9.00E-09,-2.03E-09
-0.357,9.02E-09,-2.04E-09
-0.358,9.02E-09,-2.04E-09
-0.359,9.03E-09,-2.04E-09
-0.36,9.06E-09,-2.04E-09
-0.361,9.07E-09,-2.05E-09
-0.362,9.11E-09,-2.06E-09
-0.363,9.15E-09,-2.06E-09
-0.364,9.20E-09,-2.06E-09
-0.365,9.26E-09,-2.06E-09
-0.366,9.30E-09,-2.07E-09
-0.367,9.35E-09,-2.08E-09
-0.368,9.38E-09,-2.07E-09
-0.369,9.40E-09,-2.08E-09
-0.37,9.46E-09,-2.08E-09
-0.371,9.47E-09,-2.08E-09
-0.372,9.48E-09,-2.09E-09
-0.373,9.50E-09,-2.09E-09
-0.374,9.51E-09,-2.10E-09
-0.375,9.52E-09,-2.10E-09
-0.376,9.54E-09,-2.11E-09
-0.377,9.56E-09,-2.11E-09
-0.378,9.60E-09,-2.11E-09
-0.379,9.64E-09,-2.12E-09
-0.38,9.69E-09,-2.12E-09
-0.381,9.75E-09,-2.13E-09
-0.382,9.81E-09,-2.13E-09
-0.383,9.87E-09,-2.13E-09
-0.384,9.92E-09,-2.14E-09
-0.385,9.95E-09,-2.14E-09
-0.386,9.98E-09,-2.14E-09
-0.387,9.99E-09,-2.15E-09
-0.388,1.00E-08,-2.15E-09
-0.389,1.00E-08,-2.15E-09
-0.39,1.01E-08,-2.16E-09
-0.391,1.01E-08,-2.16E-09
-0.392,1.02E-08,-2.17E-09
-0.393,1.02E-08,-2.17E-09
-0.394,1.03E-08,-2.18E-09
-0.395,1.04E-08,-2.19E-09
-0.396,1.04E-08,-2.19E-09
-0.397,1.04E-08,-2.20E-09
-0.398,1.05E-08,-2.21E-09
-0.399,1.05E-08,-2.22E-09
-0.4,1.05E-08,-2.24E-09
-0.401,1.05E-08,-2.25E-09
-0.402,1.06E-08,-2.26E-09
-0.403,1.06E-08,-2.28E-09
-0.404,1.06E-08,-2.29E-09
-0.405,1.07E-08,-2.32E-09
-0.406,1.07E-08,-2.34E-09
-0.407,1.08E-08,-2.37E-09
-0.408,1.09E-08,-2.38E-09
-0.409,1.09E-08,-2.40E-09
-0.41,1.10E-08,-2.43E-09
-0.411,1.10E-08,-2.45E-09
-0.412,1.10E-08,-2.46E-09
-0.413,1.10E-08,-2.48E-09
-0.414,1.10E-08,-2.49E-09
-0.415,1.11E-08,-2.50E-09
-0.416,1.12E-08,-2.51E-09
-0.417,1.12E-08,-2.53E-09
-0.418,1.13E-08,-2.54E-09
-0.419,1.14E-08,-2.55E-09
-0.42,1.14E-08,-2.56E-09
-0.421,1.15E-08,-2.57E-09
-0.422,1.15E-08,-2.58E-09
-0.423,1.15E-08,-2.59E-09
-0.424,1.15E-08,-2.61E-09
-0.425,1.16E-08,-2.61E-09
-0.426,1.16E-08,-2.62E-09
-0.427,1.17E-08,-2.63E-09
-0.428,1.18E-08,-2.64E-09
-0.429,1.19E-08,-2.65E-09
-0.43,1.19E-08,-2.66E-09
-0.431,1.20E-08,-2.67E-09
-0.432,1.20E-08,-2.68E-09
-0.433,1.20E-08,-2.70E-09
-0.434,1.22E-08,-2.72E-09
-0.435,1.23E-08,-2.74E-09
-0.436,1.23E-08,-2.78E-09
-0.437,1.24E-08,-2.82E-09
-0.438,1.24E-08,-2.86E-09
-0.439,1.25E-08,-2.90E-09
-0.44,1.25E-08,-2.93E-09
-0.441,1.25E-08,-2.97E-09
-0.442,1.26E-08,-2.99E-09
-0.443,1.27E-08,-3.00E-09
-0.444,1.28E-08,-3.02E-09
-0.445,1.29E-08,-3.04E-09
-0.446,1.29E-08,-3.06E-09
-0.447,1.30E-08,-3.08E-09
-0.448,1.30E-08,-3.10E-09
-0.449,1.31E-08,-3.12E-09
-0.45,1.32E-08,-3.13E-09
-0.451,1.33E-08,-3.14E-09
-0.452,1.34E-08,-3.16E-09
-0.453,1.34E-08,-3.19E-09
-0.454,1.34E-08,-3.23E-09
-0.455,1.35E-08,-3.29E-09
-0.456,1.36E-08,-3.35E-09
-0.457,1.37E-08,-3.42E-09
-0.458,1.38E-08,-3.45E-09
-0.459,1.39E-08,-3.48E-09
-0.46,1.39E-08,-3.51E-09
-0.461,1.40E-08,-3.53E-09
-0.462,1.41E-08,-3.56E-09
-0.463,1.42E-08,-3.59E-09
-0.464,1.43E-08,-3.61E-09
-0.465,1.44E-08,-3.63E-09
-0.466,1.44E-08,-3.65E-09
-0.467,1.45E-08,-3.68E-09
-0.468,1.46E-08,-3.74E-09
-0.469,1.47E-08,-3.82E-09
-0.47,1.49E-08,-3.91E-09
-0.471,1.49E-08,-3.96E-09
-0.472,1.50E-08,-4.01E-09
-0.473,1.51E-08,-4.04E-09
-0.474,1.52E-08,-4.08E-09
-0.475,1.54E-08,-4.11E-09
-0.476,1.54E-08,-4.13E-09
-0.477,1.54E-08,-4.18E-09
-0.478,1.55E-08,-4.26E-09
-0.479,1.57E-08,-4.37E-09
-0.48,1.59E-08,-4.44E-09
-0.481,1.59E-08,-4.49E-09
-0.482,1.60E-08,-4.53E-09
-0.483,1.62E-08,-4.58E-09
-0.484,1.63E-08,-4.60E-09
-0.485,1.64E-08,-4.63E-09
-0.486,1.64E-08,-4.70E-09
-0.487,1.66E-08,-4.81E-09
-0.488,1.68E-08,-4.92E-09
-0.489,1.69E-08,-4.98E-09
-0.49,1.69E-08,-5.04E-09
-0.491,1.71E-08,-5.08E-09
-0.492,1.73E-08,-5.12E-09
-0.493,1.74E-08,-5.20E-09
-0.494,1.74E-08,-5.34E-09
-0.495,1.77E-08,-5.45E-09
-0.496,1.78E-08,-5.50E-09
-0.497,1.79E-08,-5.56E-09
-0.498,1.81E-08,-5.60E-09
-0.499,1.83E-08,-5.67E-09
-0.5,1.83E-08,-5.78E-09
