# DNA modified electrode Data by Edmund Tse. 
# The third CV cycle for electrodes with well matched (wm) or mismatched (mm) duplex DNA,
# under aerobic or anaerobic conditions, and with or without PCN covalently attached.
E,Current,Construct,Aerobic,PCN
-0.273,3.51E-08,wm,TRUE,TRUE
-0.274,3.57E-08,wm,TRUE,TRUE
-0.275,3.63E-08,wm,TRUE,TRUE
-0.276,3.69E-08,wm,TRUE,TRUE
-0.277,3.74E-08,wm,TRUE,TRUE
-0.278,3.81E-08,wm,TRUE,TRUE
-0.279,3.87E-08,wm,TRUE,TRUE
-0.28,3.93E-08,wm,TRUE,TRUE
-0.281,4.00E-08,wm,TRUE,TRUE
-0.282,4.06E-08,wm,TRUE,TRUE
-0.283,4.13E-08,wm,TRUE,TRUE
-0.284,4.20E-08,wm,TRUE,TRUE
-0.285,4.27E-08,wm,TRUE,TRUE
-0.286,4.35E-08,wm,TRUE,TRUE
-0.287,4.43E-08,wm,TRUE,TRUE
-0.288,4.51E-08,wm,TRUE,TRUE
-0.289,4.59E-08,wm,TRUE,TRUE
-0.29,4.66E-08,wm,TRUE,TRUE
-0.291,4.75E-08,wm,TRUE,TRUE
-0.292,4.83E-08,wm,TRUE,TRUE
-0.293,4.92E-08,wm,TRUE,TRUE
-0.294,5.01E-08,wm,TRUE,TRUE
-0.295,5.10E-08,wm,TRUE,TRUE
-0.296,5.19E-08,wm,TRUE,TRUE
-0.297,5.28E-08,wm,TRUE,TRUE
-0.298,5.38E-08,wm,TRUE,TRUE
-0.299,5.48E-08,wm,TRUE,TRUE
-0.3,5.58E-08,wm,TRUE,TRUE
-0.301,5.68E-08,wm,TRUE,TRUE
-0.302,5.78E-08,wm,TRUE,TRUE
-0.303,5.89E-08,wm,TRUE,TRUE
-0.304,6.00E-08,wm,TRUE,TRUE
-0.305,6.11E-08,wm,TRUE,TRUE
-0.306,6.23E-08,wm,TRUE,TRUE
-0.307,6.35E-08,wm,TRUE,TRUE
-0.308,6.47E-08,wm,TRUE,TRUE
-0.309,6.58E-08,wm,TRUE,TRUE
-0.31,6.70E-08,wm,TRUE,TRUE
-0.311,6.83E-08,wm,TRUE,TRUE
-0.312,6.95E-08,wm,TRUE,TRUE
-0.313,7.09E-08,wm,TRUE,TRUE
-0.314,7.22E-08,wm,TRUE,TRUE
-0.315,7.36E-08,wm,TRUE,TRUE
-0.316,7.50E-08,wm,TRUE,TRUE
-0.317,7.63E-08,wm,TRUE,TRUE
-0.318,7.78E-08,wm,TRUE,TRUE
-0.319,7.93E-08,wm,TRUE,TRUE
-0.32,8.07E-08,wm,TRUE,TRUE
-0.321,8.23E-08,wm,TRUE,TRUE
-0.322,8.38E-08,wm,TRUE,TRUE
-0.323,8.54E-08,wm,TRUE,TRUE
-0.324,8.70E-08,wm,TRUE,TRUE
-0.325,8.87E-08,wm,TRUE,TRUE
-0.326,9.04E-08,wm,TRUE,TRUE
-0.327,9.20E-08,wm,TRUE,TRUE
-0.328,9.38E-08,wm,TRUE,TRUE
-0.329,9.55E-08,wm,TRUE,TRUE
-0.33,9.73E-08,wm,TRUE,TRUE
-0.331,9.91E-08,wm,TRUE,TRUE
-0.332,1.01E-07,wm,TRUE,TRUE
-0.333,1.03E-07,wm,TRUE,TRUE
-0.334,1.05E-07,wm,TRUE,TRUE
-0.335,1.07E-07,wm,TRUE,TRUE
-0.336,1.09E-07,wm,TRUE,TRUE
-0.337,1.11E-07,wm,TRUE,TRUE
-0.338,1.13E-07,wm,TRUE,TRUE
-0.339,1.15E-07,wm,TRUE,TRUE
-0.34,1.17E-07,wm,TRUE,TRUE
-0.341,1.19E-07,wm,TRUE,TRUE
-0.342,1.21E-07,wm,TRUE,TRUE
-0.343,1.23E-07,wm,TRUE,TRUE
-0.344,1.26E-07,wm,TRUE,TRUE
-0.345,1.28E-07,wm,TRUE,TRUE
-0.346,1.30E-07,wm,TRUE,TRUE
-0.347,1.33E-07,wm,TRUE,TRUE
