treatment,run,rep,reactor,electrode_from_swv,signal_from_swv,electrode_from_gc,signal_from_gc,echem_from_swv,minutes_from_swv,exp_id
psoralen,1,1,transfer,i2,1.022860356e-5,i2,1.51036348e-7,SWV,956.2333333333333,1
psoralen,1,2,transfer,i2,1.231024473e-5,i2,6.4206171e-8,SWV,960.1833333333333,1
psoralen,1,3,transfer,i2,1.19060896e-5,i2,4.0113862e-8,SWV,964.0833333333334,1
psoralen,1,4,transfer,i2,1.144132187e-5,i2,2.5803013000000004e-8,SWV,968.1,1
psoralen,1,5,transfer,i2,1.0673148090000001e-5,i2,1.936142e-8,SWV,971.9166666666666,1
psoralen,1,6,transfer,i2,1.019097324e-5,i2,1.72761922e-8,SWV,975.75,1
psoralen,1,7,transfer,i2,9.903506199999999e-6,i2,1.3125111199999999e-8,SWV,979.5666666666667,1
psoralen,1,8,transfer,i2,1.5999194499999997e-6,i2,1.1304257199999999e-8,SWV,983.5666666666667,1
psoralen,2,0,transfer,i2,5.93392055e-6,NA,NA,SWV,1114.8666666666666,1
psoralen,2,9,transfer,i2,4.56576081e-6,i2,4.2959724999999996e-9,SWV,1140.45,1
psoralen,2,10,transfer,i2,4.5293477e-6,i2,4.2789541e-9,SWV,1143.45,1
psoralen,2,11,transfer,i2,4.29772017e-6,i2,3.7830557e-9,SWV,1146.1166666666666,1
psoralen,2,12,transfer,i2,4.4135594599999995e-6,i2,3.7263268000000005e-9,SWV,1149.3,1
psoralen,2,13,transfer,i2,4.20196287e-6,i2,3.0471265999999997e-9,SWV,1152.0166666666667,1
psoralen,2,14,transfer,i2,3.95077835e-6,i2,2.2320142e-9,SWV,1154.7,1
psoralen,2,15,transfer,i2,3.83512205e-6,i2,2.1985693000000004e-9,SWV,1157.4166666666667,1
psoralen,2,1,transfer,i2,7.00298958e-6,i2,9.027712400000001e-8,SWV,1118.0666666666666,1
psoralen,2,2,transfer,i2,7.101438e-6,i2,3.8720362e-8,SWV,1120.8333333333333,1
psoralen,2,3,transfer,i2,6.4043571199999995e-6,i2,2.21355449e-8,SWV,1123.55,1
psoralen,2,4,transfer,i2,5.97784566e-6,i2,1.6241494600000002e-8,SWV,1126.25,1
psoralen,2,5,transfer,i2,5.36504762e-6,i2,1.0614064899999999e-8,SWV,1129.5666666666666,1
psoralen,2,6,transfer,i2,5.08267148e-6,i2,7.6455311e-9,SWV,1132.2666666666667,1
psoralen,2,7,transfer,i2,4.82025599e-6,i2,6.126045399999999e-9,SWV,1135,1
psoralen,2,8,transfer,i2,4.62547707e-6,i2,5.9907241e-9,SWV,1137.7166666666667,1
psoralen,3,0,transfer,i2,5.08002285e-6,NA,NA,SWV,1176.7333333333333,1
psoralen,3,9,transfer,i2,4.06191059e-6,i2,4.0373877e-9,SWV,1201.1166666666666,1
psoralen,3,10,transfer,i2,4.00212045e-6,i2,3.5873432999999995e-9,SWV,1203.7833333333333,1
psoralen,3,11,transfer,i2,3.89168411e-6,i2,2.9431253000000005e-9,SWV,1206.4333333333334,1
psoralen,3,12,transfer,i2,3.7235774599999998e-6,i2,2.1113489000000002e-9,SWV,1209.15,1
psoralen,3,13,transfer,i2,3.71373391e-6,i2,2.632893000000001e-9,SWV,1211.9,1
psoralen,3,14,transfer,i2,3.53832972e-6,i2,1.9302927999999996e-9,SWV,1214.5,1
psoralen,3,15,transfer,i2,3.4874930299999996e-6,i2,2.0332299999999996e-9,SWV,1217.3,1
psoralen,3,1,transfer,i2,5.88872316e-6,i2,6.4637421e-8,SWV,1179.6,1
psoralen,3,1,transfer,i2,5.88872316e-6,i2,6.4637421e-8,SWV,1179.6,1
psoralen,3,2,transfer,i2,5.8066249000000006e-6,i2,2.8995980900000003e-8,SWV,1182.3833333333334,1
psoralen,3,3,transfer,i2,5.34503003e-6,i2,1.85854272e-8,SWV,1185.05,1
psoralen,3,3,transfer,i2,5.34503003e-6,i2,1.85854272e-8,SWV,1185.05,1
psoralen,3,4,transfer,i2,5.0580216300000004e-6,i2,1.1872127900000001e-8,SWV,1187.75,1
psoralen,3,5,transfer,i2,4.82583937e-6,i2,9.9177283e-9,SWV,1190.4166666666667,1
psoralen,3,6,transfer,i2,4.53655212e-6,i2,6.8989642e-9,SWV,1193.0666666666666,1
psoralen,3,7,transfer,i2,4.31703034e-6,i2,5.0899306e-9,SWV,1195.75,1
psoralen,3,7,transfer,i2,4.31703034e-6,i2,5.0899306e-9,SWV,1195.75,1
psoralen,3,8,transfer,i2,4.13459153e-6,i2,4.8501351e-9,SWV,1198.4833333333333,1
control,1,0,soak,i1,3.41704256e-6,NA,NA,SWV,941.1833333333333,2
control,1,0,transfer,i1,3.6689726400000002e-6,NA,NA,SWV,951.75,2
control,1,9,transfer,i1,1.6782688500000002e-7,i2,1.9993316200000004e-8,SWV,977.2833333333333,2
control,1,10,transfer,i1,1.6738164200000003e-7,i2,1.7600871099999997e-8,SWV,980.0666666666667,2
control,1,11,transfer,i1,1.42282633e-7,i2,1.3229051499999999e-8,SWV,983.5166666666667,2
control,1,12,transfer,i1,1.49060359e-7,i2,1.3198696500000002e-8,SWV,986.2166666666667,2
control,1,13,transfer,i1,1.32932361e-7,i2,1.11678757e-8,SWV,988.9666666666667,2
control,1,14,transfer,i1,1.20597242e-7,i2,8.669670799999999e-9,SWV,991.7833333333333,2
control,1,15,transfer,i1,1.20630219e-7,i2,8.438095899999998e-9,SWV,994.5666666666667,2
control,1,1,transfer,i1,1.16604802e-6,i2,3.0470970800000003e-7,SWV,954.6666666666666,2
control,1,2,transfer,i1,7.457471e-7,i2,1.72977646e-7,SWV,957.35,2
control,1,3,transfer,i1,5.3280135e-7,i2,1.1316615900000002e-7,SWV,960.0833333333334,2
control,1,4,transfer,i1,3.78909173e-7,i2,7.7454923e-8,SWV,963.0166666666667,2
control,1,5,transfer,i1,3.12022477e-7,i2,5.6319952e-8,SWV,965.75,2
control,1,6,transfer,i1,2.66656272e-7,i2,4.2720567e-8,SWV,968.45,2
control,1,7,transfer,i1,2.0946619099999998e-7,i2,3.1824764e-8,SWV,971.6666666666666,2
control,1,8,transfer,i1,1.9269500999999998e-7,i2,2.3839755999999995e-8,SWV,974.4,2
control,2,0,soak,i1,3.4892064960000003e-6,NA,NA,SWV,1009.4,2
control,2,0,transfer,i1,2.4038642360000003e-6,NA,NA,SWV,1017.4666666666667,2
control,2,9,transfer,i1,1.3695611e-7,i2,7.087142199999999e-9,SWV,1042.5833333333333,2
control,2,10,transfer,i1,1.1965726100000002e-7,i2,5.4437473999999995e-9,SWV,1045.3833333333334,2
control,2,11,transfer,i1,1.15699482e-7,i2,5.0941075999999995e-9,SWV,1048.2333333333333,2
control,2,12,transfer,i1,1.19921112e-7,i2,4.6331125999999995e-9,SWV,1050.9666666666667,2
control,2,13,transfer,i1,1.21025997e-7,i2,4.4136783e-9,SWV,1053.9333333333334,2
control,2,14,transfer,i1,1.04799048e-7,i2,3.638510399999999e-9,SWV,1056.6833333333334,2
control,2,15,transfer,i1,1.07421084e-7,i2,3.0031350999999997e-9,SWV,1059.5,2
control,2,1,transfer,i1,7.23088694e-7,i2,1.39638474e-7,SWV,1020.4,2
control,2,2,transfer,i1,4.5486583900000004e-7,i2,6.920639399999999e-8,SWV,1023.1333333333333,2
control,2,3,transfer,i1,3.3975999000000004e-7,i2,3.9524839399999997e-8,SWV,1025.8666666666666,2
control,2,4,transfer,i1,2.5791615300000004e-7,i2,2.47715729e-8,SWV,1028.55,2
control,2,5,transfer,i1,2.0155058699999996e-7,i2,1.83086187e-8,SWV,1031.2666666666667,2
control,2,6,transfer,i1,1.8557100900000002e-7,i2,1.3050597000000001e-8,SWV,1034.4,2
control,2,7,transfer,i1,1.5191329100000002e-7,i2,1.0358920600000001e-8,SWV,1037.1,2
control,2,8,transfer,i1,1.38044512e-7,i2,7.8377886e-9,SWV,1039.8333333333333,2
control,3,0,soak,i1,3.76443773e-6,NA,NA,SWV,1102.15,2
control,3,0,transfer,i1,2.674247462e-6,NA,NA,SWV,1108.9833333333333,2
control,3,9,transfer,i1,1.8662641099999998e-7,i2,1.32978288e-8,SWV,1134.0833333333333,2
control,3,10,transfer,i1,1.7127346999999996e-7,i2,1.1602750500000001e-8,SWV,1136.8166666666666,2
control,3,11,transfer,i1,1.6132951999999998e-7,i2,9.844084399999999e-9,SWV,1139.6333333333334,2
control,3,12,transfer,i1,1.5199571100000002e-7,i2,8.678057000000002e-9,SWV,1142.4,2
control,3,13,transfer,i1,1.45003622e-7,i2,7.405231100000001e-9,SWV,1145.1666666666667,2
control,3,14,transfer,i1,1.3179447699999998e-7,i2,6.470938900000001e-9,SWV,1148,2
control,3,15,transfer,i1,1.3032681e-7,i2,6.3015114000000005e-9,SWV,1150.7666666666667,2
control,3,1,transfer,i1,1.032621052e-6,i2,2.16585909e-7,SWV,1111.8833333333334,2
control,3,2,transfer,i1,6.79684925e-7,i2,1.12767789e-7,SWV,1114.5666666666666,2
control,3,3,transfer,i1,5.12831006e-7,i2,7.491039e-8,SWV,1117.2833333333333,2
control,3,4,transfer,i1,4.0193030599999995e-7,i2,5.0082103e-8,SWV,1120.05,2
control,3,5,transfer,i1,3.15518509e-7,i2,3.6417217e-8,SWV,1122.8666666666666,2
control,3,6,transfer,i1,2.61890433e-7,i2,2.7501113100000004e-8,SWV,1125.8333333333333,2
control,3,7,transfer,i1,2.20613937e-7,i2,2.0454469200000003e-8,SWV,1128.6333333333334,2
control,3,8,transfer,i1,2.0242458899999998e-7,i2,1.66024381e-8,SWV,1131.3833333333334,2
control,1,0,soak,i2,3.3386289309999997e-6,NA,NA,SWV,941.1833333333333,2
control,1,0,transfer,i2,3.5004366629999997e-6,NA,NA,SWV,951.75,2
control,1,9,transfer,i2,1.9383617269999997e-6,i2,1.9993316200000004e-8,SWV,977.2833333333333,2
control,1,10,transfer,i2,1.958216823e-6,i2,1.7600871099999997e-8,SWV,980.0666666666667,2
control,1,11,transfer,i2,2.1428313829999996e-6,i2,1.3229051499999999e-8,SWV,983.5166666666667,2
control,1,12,transfer,i2,1.995354118e-6,i2,1.3198696500000002e-8,SWV,986.2166666666667,2
control,1,13,transfer,i2,1.957557274e-6,i2,1.11678757e-8,SWV,988.9666666666667,2
control,1,14,transfer,i2,1.939862539e-6,i2,8.669670799999999e-9,SWV,991.7833333333333,2
control,1,15,transfer,i2,1.922481127e-6,i2,8.438095899999998e-9,SWV,994.5666666666667,2
control,1,1,transfer,i2,1.262123557e-6,i2,3.0470970800000003e-7,SWV,954.6666666666666,2
control,1,2,transfer,i2,1.635326939e-6,i2,1.72977646e-7,SWV,957.35,2
control,1,3,transfer,i2,1.89657415e-6,i2,1.1316615900000002e-7,SWV,960.0833333333334,2
control,1,4,transfer,i2,1.757589698e-6,i2,7.7454923e-8,SWV,963.0166666666667,2
control,1,5,transfer,i2,1.995782965e-6,i2,5.6319952e-8,SWV,965.75,2
control,1,6,transfer,i2,2.016264501e-6,i2,4.2720567e-8,SWV,968.45,2
control,1,7,transfer,i2,1.694462947e-6,i2,3.1824764e-8,SWV,971.6666666666666,2
control,1,8,transfer,i2,1.9724978690000004e-6,i2,2.3839755999999995e-8,SWV,974.4,2
control,2,0,soak,i2,2.7445476399999997e-6,NA,NA,SWV,1009.4,2
control,2,0,transfer,i2,1.381780812e-6,NA,NA,SWV,1017.4666666666667,2
control,2,9,transfer,i2,2.0007795999999997e-6,i2,7.087142199999999e-9,SWV,1042.5833333333333,2
control,2,10,transfer,i2,1.979984637e-6,i2,5.4437473999999995e-9,SWV,1045.3833333333334,2
control,2,11,transfer,i2,1.917600003e-6,i2,5.0941075999999995e-9,SWV,1048.2333333333333,2
control,2,12,transfer,i2,1.893210006e-6,i2,4.6331125999999995e-9,SWV,1050.9666666666667,2
control,2,13,transfer,i2,1.82897842e-6,i2,4.4136783e-9,SWV,1053.9333333333334,2
control,2,14,transfer,i2,1.844529304e-6,i2,3.638510399999999e-9,SWV,1056.6833333333334,2
control,2,15,transfer,i2,1.796062848e-6,i2,3.0031350999999997e-9,SWV,1059.5,2
control,2,1,transfer,i2,1.885492261e-6,i2,1.39638474e-7,SWV,1020.4,2
control,2,2,transfer,i2,2.1724981040000003e-6,i2,6.920639399999999e-8,SWV,1023.1333333333333,2
control,2,3,transfer,i2,2.235080856e-6,i2,3.9524839399999997e-8,SWV,1025.8666666666666,2
